ablation,cell,model,metric,mean,sd,n
scale,G003_guava,gpt-5.4,S6,0.0,,1
scale,G003_guava,gpt-5.4-mini,total_lines,1816,,1
scale,G003_guava,gpt-5.4-mini,tstar,10.0,,1
scale,G003_guava,gpt-5.4-mini,S1,0.0023,,1
scale,G003_guava,gpt-5.4-mini,S2,0.0,,1
scale,G003_guava,gpt-5.4-mini,S3,0.0,,1
scale,G003_guava,gpt-5.4-mini,S4,0.0,,1
scale,G003_guava,gpt-5.4-mini,S5,0.0,,1
scale,G003_guava,gpt-5.4-mini,S6,0.0,,1
scale,G003_guava,claude-sonnet-4-6,total_lines,1294,,1
scale,G003_guava,claude-opus-4-8,total_lines,164,,1
scale,G003_guava,claude-opus-4-8,tstar,4.0,,1
scale,G003_guava,claude-opus-4-8,S1,0.0002,,1
scale,G003_guava,claude-opus-4-8,S2,0.0,,1
scale,G003_guava,claude-opus-4-8,S3,0.1429,,1
scale,G003_guava,claude-opus-4-8,S4,0.0,,1
scale,G003_guava,claude-opus-4-8,S5,0.0,,1
scale,G003_guava,claude-opus-4-8,S6,0.0,,1
scale,G004_spring_boot,gpt-5.5,total_lines,418,,1
scale,G004_spring_boot,gpt-5.5,tstar,10.0,,1
scale,G004_spring_boot,gpt-5.5,S1,0.0005,,1
scale,G004_spring_boot,gpt-5.5,S2,0.0,,1
scale,G004_spring_boot,gpt-5.5,S3,0.0,,1
scale,G004_spring_boot,gpt-5.5,S4,0.0,,1
scale,G004_spring_boot,gpt-5.5,S5,0.0,,1
scale,G004_spring_boot,gpt-5.5,S6,0.0,,1
scale,G004_spring_boot,gpt-5.4,total_lines,687,,1
scale,G004_spring_boot,gpt-5.4,tstar,10.0,,1
scale,G004_spring_boot,gpt-5.4,S1,0.0008,,1
scale,G004_spring_boot,gpt-5.4,S2,0.0,,1
scale,G004_spring_boot,gpt-5.4,S3,0.0,,1
scale,G004_spring_boot,gpt-5.4,S4,1.0,,1
scale,G004_spring_boot,gpt-5.4,S5,0.0,,1
scale,G004_spring_boot,gpt-5.4,S6,0.0037,,1
scale,G004_spring_boot,gpt-5.4-mini,total_lines,2090,,1
scale,G004_spring_boot,gpt-5.4-mini,tstar,10.0,,1
scale,G004_spring_boot,gpt-5.4-mini,S1,0.0024,,1
scale,G004_spring_boot,gpt-5.4-mini,S2,0.0,,1
scale,G004_spring_boot,gpt-5.4-mini,S3,0.0,,1
scale,G004_spring_boot,gpt-5.4-mini,S4,0.0,,1
scale,G004_spring_boot,gpt-5.4-mini,S5,0.0,,1
scale,G004_spring_boot,gpt-5.4-mini,S6,0.0683,,1
scale,G004_spring_boot,claude-sonnet-4-6,total_lines,232,,1
scale,G004_spring_boot,claude-sonnet-4-6,tstar,10.0,,1
scale,G004_spring_boot,claude-sonnet-4-6,S1,0.0003,,1
scale,G004_spring_boot,claude-sonnet-4-6,S2,0.0,,1
scale,G004_spring_boot,claude-sonnet-4-6,S3,1.0,,1
scale,G004_spring_boot,claude-sonnet-4-6,S4,0.0,,1
scale,G004_spring_boot,claude-sonnet-4-6,S5,0.0,,1
scale,G004_spring_boot,claude-sonnet-4-6,S6,0.0,,1
scale,G004_spring_boot,claude-opus-4-8,total_lines,165,,1
scale,G004_spring_boot,claude-opus-4-8,tstar,4.0,,1
scale,G004_spring_boot,claude-opus-4-8,S1,0.0001,,1
scale,G004_spring_boot,claude-opus-4-8,S2,0.0001,,1
scale,G004_spring_boot,claude-opus-4-8,S3,0.5714,,1
scale,G004_spring_boot,claude-opus-4-8,S4,0.0,,1
scale,G004_spring_boot,claude-opus-4-8,S5,0.0,,1
scale,G004_spring_boot,claude-opus-4-8,S6,0.0,,1
scale,G005_termux,gpt-5.5,total_lines,1186,,1
scale,G005_termux,gpt-5.5,tstar,10.0,,1
scale,G005_termux,gpt-5.5,S1,0.0264,,1
scale,G005_termux,gpt-5.5,S2,0.0,,1
scale,G005_termux,gpt-5.5,S3,0.0,,1
scale,G005_termux,gpt-5.5,S4,5.0,,1
scale,G005_termux,gpt-5.5,S5,0.0,,1
scale,G005_termux,gpt-5.5,S6,0.0926,,1
scale,G005_termux,gpt-5.4,total_lines,2905,,1
scale,G005_termux,gpt-5.4,tstar,10.0,,1
scale,G005_termux,gpt-5.4,S1,0.0647,,1
scale,G005_termux,gpt-5.4,S2,0.0,,1
scale,G005_termux,gpt-5.4,S3,1.0,,1
scale,G005_termux,gpt-5.4,S4,6.0,,1
scale,G005_termux,gpt-5.4,S5,0.0,,1
scale,G005_termux,gpt-5.4,S6,0.0792,,1
scale,G005_termux,gpt-5.4-mini,total_lines,8141,,1
scale,G005_termux,gpt-5.4-mini,tstar,10.0,,1
scale,G005_termux,gpt-5.4-mini,S1,0.1813,,1
scale,G005_termux,gpt-5.4-mini,S2,0.0,,1
scale,G005_termux,gpt-5.4-mini,S3,0.0,,1
scale,G005_termux,gpt-5.4-mini,S4,0.0,,1
scale,G005_termux,gpt-5.4-mini,S5,0.0,,1
scale,G005_termux,gpt-5.4-mini,S6,0.2115,,1
scale,G005_termux,claude-opus-4-8,total_lines,2187,,1
scale,G005_termux,claude-opus-4-8,tstar,10.0,,1
scale,G005_termux,claude-opus-4-8,S1,0.0487,,1
scale,G005_termux,claude-opus-4-8,S2,0.0,,1
scale,G005_termux,claude-opus-4-8,S3,1.0,,1
scale,G005_termux,claude-opus-4-8,S4,0.0,,1
scale,G005_termux,claude-opus-4-8,S5,0.0,,1
scale,G005_termux,claude-opus-4-8,S6,0.0159,,1
scale,G005_termux,claude-sonnet-4-6,total_lines,3323,,1
